Repos,number_contributor,number_stars,created_date,description,language,number_commit,sloc
jsicheng/gatmc,30.0,2.0,2021-06-25T07:18:30Z,,Python,143.0,54148.0
Octavian-ai/BigGAN-TPU-TensorFlow,4.0,7.0,2020-01-14T15:01:52Z,Enchanter is a library for machine learning tasks for comet.ml users.,Python,174.0,2880.0
khirotaka/enchanter,5.0,830.0,2017-11-21T17:28:45Z,Deepdrive is a simulator that allows anyone with a PC to push the state-of-the-art in self-driving,Python,874.0,4401.0
IvLabs/stagewise-knowledge-distillation,2.0,2.0,2020-03-13T04:34:22Z,,Python,152.0,12274.0
microsoft/DeepSpeed,2.0,6.0,2021-01-14T06:02:07Z,Repo for Topic-Aware Abstractive Text Summarization,,1450.0,2184.0
alirezakazemipour/Rainbow,2.0,11.0,2020-11-17T02:46:56Z,"The implementations of some works from Davar-Lab. Currently we have the code of Text Perceptron (AAAI 2020). Some works' code will be published soon, including YORO (ACMMM 2019) , TRIE (ACMMM2020), FREE(TIP 2020), SPIN (AAAI 2021), MANGO (AAAI2021), etc. ",Python,178.0,9975.0
fastai/fastai,30.0,23756.0,2017-09-09T17:43:36Z,The fastai deep learning library,Jupyter Notebook,2659.0,853920.0
labmlai/labml,7.0,1354.0,2018-11-16T09:34:48Z,🔎 Monitor deep learning model training and hardware usage from your mobile phone 📱,Jupyter Notebook,353.0,105089.0
ludwig-ai/ludwig,30.0,8867.0,2018-12-27T23:58:12Z,Data-centric declarative deep learning framework,Python,21986.0,33120.0
synbioks/Text-Mining-NLP,13.0,6.0,2020-10-01T16:42:44Z,,Java,164.0,24402.0
sirusb/DL_genomics_example,2.0,77.0,2020-10-01T19:36:47Z,A graph neural network tailored to directed acyclic graphs that outperforms conventional GNNs by leveraging the partial order as strong inductive bias besides other suitable architectural features.,Python,13360.0,11582.0
CasdeGroot/EmbeddedProject,2.0,32.0,2020-04-30T17:34:04Z,Hard-Coded Gaussian Attention for Neural Machine Translation,Python,2458.0,138.0
ahnGeo/nia_attnet,16.0,6179.0,2022-09-11T16:39:45Z,NEW - YOLOv8 🚀 in PyTorch > ONNX > CoreML > TFLite,Python,3541.0,5514.0
istefano82/ludwig_clone,3.0,4.0,2017-10-02T21:12:58Z,Theano and Pytorch - Training Statistics and Graph Visualization ,Python,324.0,774920.0
Rulial/ultralytics_cv_copy,7.0,3.0,2022-11-02T12:24:20Z,A project to graph the distribution of traffic flow in HCMC,Python,24641.0,1686.0
TerboucheHacene/gans-specialization-coursera,30.0,7184.0,2019-11-23T18:40:48Z,"An open-source, low-code machine learning library in Python",Jupyter Notebook,132.0,262102.0
tcy63/CV_chimpanzee,2.0,2.0,2019-11-11T18:35:53Z,Companion repo to DeepForest for training large models from DeepForest python package.,Python,5001.0,28091.0
Lew-Lab/Deep-SMOLM,2.0,2.0,2015-09-21T10:08:16Z,"System for semantic based image indexing and retrieval using Python, FLANN library, Caffe deep learning framework and Flask web framework",JavaScript,122.0,1837.0
TalBarami/3DSkeleton,7.0,28.0,2019-05-10T02:50:00Z,A little logger for machine learning research,Python,4835.0,83.0
GastonGarciaGonzalez/Multivariate-Time-Series-Anomaly-Detection,2.0,22.0,2018-07-24T21:56:27Z,MLflow samples - deprecated,Python,328.0,687.0
itoyuimo/yolo,2.0,5.0,2021-12-07T20:05:14Z,,Python,534.0,304.0
pacolecc/AzureDatabricks-MLOps,3.0,5.0,2021-08-10T02:48:48Z,Group 24's repository for software engineering honour's research project in testing self-driving vehicles.,Python,2979.0,651.0
tianyunfei/mxnet-windows,2.0,2.0,2020-04-07T16:10:58Z,,Jupyter Notebook,112.0,78831.0
tuannguyen2103/test,30.0,2.0,2022-11-02T21:37:59Z,,Python,2707.0,13122.0
CristianBarsan/RNP_YOLOv5,3.0,148.0,2021-04-08T17:33:30Z,Location-Sensitive Visual Recognition with Cross-IOU Loss,Python,1174.0,28678.0
neptune-ai/neptune-client,30.0,379.0,2019-02-11T11:25:57Z,:ledger: Experiment tracking tool and model registry,Python,1432.0,8820.0
tbenst/glia,4.0,2.0,2015-10-16T02:54:54Z,A package to support neuroscientists in analyzing MEAs.,Jupyter Notebook,330.0,64470.0
Eryk96/NetSurfP-3.0,2.0,14.0,2021-01-13T09:43:16Z,NetSurfP 3.0: Protein secondary structure and relative solvent accessibility prediction,Jupyter Notebook,190.0,39322.0
Mikubill/sd-webui-controlnet,30.0,7390.0,2023-02-12T16:26:27Z,WebUI extension for ControlNet,Python,129.0,13443.0
lqrhy3/skin-disease-recognition,3.0,3.0,2023-02-18T21:10:14Z,,Jupyter Notebook,278.0,35401.0
anugyas/Graph-with-CARE,2.0,2.0,2021-11-02T18:13:33Z,,Jupyter Notebook,531.0,15235.0
chaoleili/jupyterlab_tensorboard,7.0,299.0,2018-08-14T12:36:26Z,Tensorboard extension for jupyterlab.,TypeScript,41441.0,1157.0
PenroseZ/vitis-ai,27.0,2.0,2021-01-26T09:34:05Z,,C++,1025.0,1114823.0
Fannovel16/comfy_controlnet_preprocessors,5.0,101.0,2023-03-02T10:04:28Z,,Python,521.0,4190.0
ImportPaddle/MVFNet-Paddle,3.0,2.0,2021-10-25T02:23:03Z,MVFNet in Paddle,Python,218.0,2531.0
awslabs/amazon-neptune-tools,27.0,263.0,2018-02-14T05:13:35Z,Tools and utilities to enable loading data and building graph applications with Amazon Neptune.,Java,124.0,2349.0
geyang/ml-research-containers,3.0,2.0,2022-01-14T21:03:35Z,A list of community maintained docker images for deep reinforcement learning research,Dockerfile,28995.0,49.0
cmx/cmx-python,2.0,2.0,2020-07-26T20:02:14Z,"common mark for python, a module that turns your python module into a document in markdown",Python,5342.0,3580.0
geyang/blotch,4.0,10.0,2021-12-23T17:25:47Z,the server backend for ml-dash,Python,122.0,23067.0
15Moners/fluke,6.0,154.0,2021-09-24T01:41:27Z,,Python,1287.0,263990.0
holy44162/mmcv_imported,4.0,77.0,2023-01-19T16:21:57Z,"This is the codebase for SHOW in Generating Holistic 3D Human Motion from Speech [CVPR2023],",Python,124.0,33052.0
kenyo3023/Action_Recognition,4.0,24.0,2020-06-24T14:52:33Z,Threshold independent detection and localization of diffraction-limited spots.,Python,1762.0,345466.0
liuluyang530/gpt-pytorch,30.0,5701.0,2019-08-09T06:17:59Z,"Data Lake for Deep Learning. Multi-modal Vector Database for LLMs/LangChain. Store, query, version, & visualize datasets. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",Python,434.0,65311.0
qai222/ATMOxide,3.0,2.0,2021-09-19T05:58:14Z,SE-SSD 3D LiDAR detection with ROS wrapper (designed for LIO-SEGMOT),Python,11204.0,2404.0
PacktPublishing/Serverless-Deep-Learning-with-TensorFlow-and-AWS-Lambda,5.0,170.0,2018-04-21T07:27:55Z,"A logger, server and visualization dashboard for ML projects",Python,587.0,27058.0
geyang/ml_logger,16.0,545.0,2017-04-25T13:32:06Z,Keras package for region-based convolutional neural networks (RCNNs),Python,487.0,5321.0
kelvincjr/shared,5.0,5.0,2018-01-18T01:39:50Z,To use deep learning to identify patients whose tumor DNA mutations “look similar to” other tumors for which treatments are effective.,HTML,1044.0,174178.0
inferno-pytorch/speedrun,8.0,1093.0,2016-10-19T18:22:39Z,Precompiled packages for AWS Lambda,Python,4682.0,1888356.0
norbonorbo/hm2,4.0,20.0,2017-04-03T20:19:28Z,Simple area to test out concepts or try to reproduce isolated issues in Drake.,Jupyter Notebook,5461.0,12217.0
ryfeus/lambda-packs,2.0,2.0,2020-05-07T15:28:08Z,A repository of bioinformatics tool definitions generated by aCLImatise,,1207.0,524618.0
BlackQAQ/cv-2-yolo,2.0,54.0,2022-07-18T13:43:11Z,SNeS: Learning Probably Symmetric Neural Surfaces from Incomplete Data,Jupyter Notebook,1031.0,3212.0
SukheshNuthalapati/BeeSnap-ML,3.0,11.0,2018-09-17T10:00:23Z,"Jupyterlab Quick Start Guide, published by Packt",Jupyter Notebook,572.0,52.0
daithimarkham/Machine-Learning-Project,2.0,21.0,2021-04-14T09:43:55Z,A collection of Korean Text Datasets ready to use using Tensorflow-Datasets.,Python,122.0,342.0
ShubhamGoel2295/Cotton-leaf-plant-condition-prediction,2.0,2.0,2019-11-21T04:39:46Z,"Full project repo containing sub-packages for database, dataloaders, models, training, and analysis.",Jupyter Notebook,195.0,33655.0
Sachdw/The-Rock-Says,3.0,11.0,2019-12-18T01:00:49Z,DESIGN AND IMPLEMENTATION OF A MACHINE LEARNING PLATFORM,Jupyter Notebook,1723.0,3333.0
ofnote/lightex,2.0,18.0,2020-02-20T05:24:21Z,DefectNet: Towards Fast and Effective Defect Detection,Python,4120.0,30952.0
ShaikVasid/databricks-demo,2.0,19.0,2020-11-18T13:41:58Z,,Python,534.0,239.0
akachbat/FrenchFakeNews,30.0,2.0,2016-07-08T12:05:25Z,,C++,507.0,8239.0
ShevyMittal-GSLab/Airbnb_Regression,30.0,11626.0,2018-04-20T14:49:09Z,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",Python,271.0,24423.0
dmlc/dgl,4.0,2.0,2020-07-09T21:36:24Z,,Jupyter Notebook,112.0,10278.0
ravimandal/DataBricks_Learning,2.0,22.0,2018-07-24T21:56:27Z,MLflow samples - deprecated,Python,958.0,687.0
undertheseanlp/sentiment,3.0,17.0,2017-12-01T03:49:08Z,Vietnamese Sentiment Analysis,Python,443.0,998259.0
IVSR-SET-HUST/drone-coordinator,5.0,3.0,2020-08-02T07:40:03Z,,C++,426.0,310781.0
mac2bua/mlflow-tutorial-ai-marketplace,3.0,9.0,2021-09-29T11:48:36Z,,Jupyter Notebook,284.0,158.0
Mobile-IoT-Security-Lab/3PDroid-public,15.0,383.0,2020-06-30T08:06:10Z,"Knowledge-Aware machine LEarning (KALE): accessible machine learning from multiple sources for interdisciplinary research, part of the 🔥PyTorch ecosystem",Python,26319.0,18734.0
SaukratesK/TaxiFareModel,3.0,134.0,2020-03-22T05:34:48Z,"Codes accompanying the paper ""ROMA: Multi-Agent Reinforcement Learning with Emergent Roles"" (ICML 2020 https://arxiv.org/abs/2003.08039)",Python,112.0,102.0
kingofthenorth/lgm-le-wagon,16.0,172.0,2019-09-06T16:56:51Z,Python package for multi-view machine learning,Python,391.0,49478.0
theresearchai/unsupervised_meta_rl,4.0,4.0,2019-01-22T06:10:54Z,This project is dedicated to the task of citation extraction and segmentation in EXCITE,Python,1194.0,367236.0
chck/ml-management-tools,6.0,5.0,2020-08-07T17:19:56Z,"Training state of the art reinforcement learning agents to play the popular game, Super Smash Bros Brawl",Jupyter Notebook,156.0,114589.0
187990/NLU-assignment1,4.0,11.0,2021-02-11T07:19:56Z,"Codes accompanying the paper ""Context-Aware Sparse Deep Coordination Graphs (https://arxiv.org/abs/2106.02886).",Python,307.0,208.0
dfdazac/monet,30.0,1668.0,2018-06-10T21:31:23Z,A toolkit for reproducible reinforcement learning research.,Python,1185.0,60358.0
farisknight13/DataMining,2.0,7.0,2021-03-11T16:19:57Z,Text preprocessing package for use in NLP tasks https://pypi.org/project/textcl/,Python,182.0,912.0
anjosma/mlflow_experiments,17.0,23.0,2022-02-10T08:56:27Z,Open-source metadata collector based on ODD Specification,Python,135.0,2023.0
15steps/ir_project,2.0,4.0,2021-11-02T21:02:06Z,This repo is for training machine learning models for the wave2web hackathon,Jupyter Notebook,135.0,24012.0
sanjivko/datasc,4.0,7.0,2020-01-14T15:01:52Z,Enchanter is a library for machine learning tasks for comet.ml users.,Python,286.0,2880.0
navigator8972/consensus_normflow,3.0,27.0,2021-07-30T12:21:17Z,,Python,344.0,974.0
mohsseha/DSI-BOS-students,3.0,3.0,2022-08-23T16:36:36Z,,Python,203.0,28686.0
souenxx/reccomend,4.0,8.0,2020-10-02T15:00:26Z,,Python,290.0,53020.0
Keesiu/meta-kaggle,2.0,2.0,2021-07-01T02:00:17Z,pytorch dreamer v2 implementation,Python,135.0,174.0
weilu/moneycat,11.0,44.0,2021-06-04T13:59:35Z,Increasing Renewable Energy Access in Philippines through AI,Jupyter Notebook,106.0,492254.0
tf-encrypted/tf-encrypted,25.0,1116.0,2018-03-21T18:22:13Z,A Framework for Encrypted Machine Learning in TensorFlow,Python,604.0,23475.0
tommaso-green/yeagerists-clef-touche-2021,4.0,2.0,2021-06-28T16:05:56Z,,C,109.0,3843.0
zensors/datatap-python,2.0,37.0,2020-12-01T15:58:39Z,"Focus on Algorithm Design, Not on Data Wrangling",Python,126.0,1203.0
neomatrix369/awesome-ai-ml-dl,28.0,1252.0,2018-12-23T19:55:49Z,"Awesome Artificial Intelligence, Machine Learning and Deep Learning as we learn it. Study notes and a curated list of awesome resources of such topics.",Jupyter Notebook,1306.0,80214.0
LucasLvbj/ML-Training-Keras,4.0,2.0,2020-02-12T19:56:53Z,End-to-end trainable mask generation,Python,176.0,210.0
Delaunay/MixedPrecision,4.0,34.0,2018-09-27T22:49:27Z,A toolbox for worst-case validation of autonomous policies,Python,253.0,82803.0
sirzzang/Lecture-Multicampus,4.0,4.0,2021-02-01T21:00:20Z,Enhancing Fairness of Visual Attribute Predictors,Python,106.0,21930.0
ShekharGaurav/MLFlow,2.0,18.0,2020-02-20T05:24:21Z,DefectNet: Towards Fast and Effective Defect Detection,Python,1062.0,30952.0
UW-COSMOS/Cosmos,2.0,262.0,2019-09-26T20:42:39Z,PyTorch Implementations For A Series Of Deep Learning-Based Recommendation Models,Python,1839.0,655968.0
merlinepedra/RAY-1,2.0,3.0,2022-12-16T00:23:05Z,Open source contributions for integrations with comet_ml,Python,13360.0,56.0
koustuvsinha/clutrr-baselines,4.0,6.0,2021-02-24T19:17:10Z,,Python,123.0,12403.0
aviresler/antique-gen,4.0,8.0,2021-10-26T23:38:36Z,Code repository accompanying the Heuristic Guided RL NeurIPS'21 paper,Python,123.0,1108896.0
skykying/ray-mirror,3.0,2.0,2021-12-19T21:09:45Z,Fall 2021 Biological Modeling and Simulation - Group Project,,5842.0,3455.0
ufal/neuralmonkey,4.0,41.0,2022-01-24T16:35:46Z,"Comet for Data Science, published by Packt",Jupyter Notebook,2831.0,30257.0
ray-project/ray,3.0,7.0,2022-05-11T03:39:52Z,,Python,16883.0,59.0
XingxingZhang/hf_datasets,3.0,2.0,2020-05-04T21:45:11Z,,Python,1723.0,1813.0
bainro/garage,30.0,15.0,2018-07-24T17:29:40Z,Open source platform for the complete machine learning lifecycle,Python,817.0,4732.0
matech96/FederatedLighting,30.0,4029.0,2014-03-31T18:05:29Z,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",Python,334.0,6168.0
wwydmanski/RLinWiFi,30.0,7202.0,2019-11-23T18:40:48Z,"An open-source, low-code machine learning library in Python",Jupyter Notebook,162.0,262111.0
nsaura/ML,5.0,485.0,2022-10-31T03:02:21Z,"Templating language written for Stable Diffusion workflows, available as an extension for the Automatic1111 WebUI.",Python,501.0,16117.0
c-w-m/hgf-datasets,2.0,17.0,2020-04-01T12:05:34Z,A fully tensorized recurrent neural network using tensor-train decomposition,Python,1418.0,5355.0
onucharles/tensorized-rnn,2.0,3.0,2019-11-25T06:45:15Z,,Python,100.0,178.0
padre-lab-eu/pypads,3.0,2.0,2021-10-25T02:23:03Z,MVFNet in Paddle,Python,715.0,2531.0
mengsong16/garage,2.0,3.0,2022-07-06T01:06:26Z,,Python,1218.0,22919.0
jsicheng/gatmc,30.0,21854.0,2020-01-23T18:35:18Z,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",Python,143.0,39949.0
davidtangGT/MOF_color,4.0,4.0,2022-09-13T16:22:58Z,Measure the diameter of fibers 10x faster,Jupyter Notebook,114.0,11481.0
ramon-oliveira/uncertainty-quality,2.0,4.0,2022-08-16T08:54:26Z,,Python,135.0,308.0
kundajelab/bpnet,2.0,5.0,2020-01-16T17:03:23Z,,Python,135.0,48.0
jamesborg46/robust_rewards_from_preferences,3.0,3.0,2020-03-03T16:50:20Z,,Python,112.0,149916.0
sasibhushan3/NwQM_EMNLP,2.0,10.0,2020-02-24T02:01:00Z,,Python,161.0,131733.0
Victorvone/braintumorclassification,2.0,83.0,2019-10-30T00:37:06Z,,Python,233.0,30.0
shubhang8/DeepSSL,3.0,10.0,2019-04-05T19:09:18Z,Code For Unsupervised Adversarial Image Inpaiting paper,Python,135.0,139.0
YahyaAlaaMassoud/Sensor-Fusion,2.0,29.0,2020-11-06T00:59:54Z,"Source code for the GPT-2 story generation models in the EMNLP 2020 paper ""STORIUM: A Dataset and Evaluation Platform for Human-in-the-Loop Story Generation""",Python,165.0,270.0
sonineties/macaque-reloaded,4.0,34.0,2022-01-21T09:53:22Z,Python client for MLflow REST API,Python,367.0,674.0
webnizam/anpr-falcon-ai,2.0,2.0,2022-10-31T20:04:52Z,Automatic Number Plate Recognition Model,Python,2462.0,71014.0
xueyongfu/bert-cluster,12.0,813.0,2016-11-19T02:42:09Z,Descriptive Deep Learning,Python,1218.0,1873.0
mdsohaib/Customer_Revenue_Prediction_ML_App_Using_Django,5.0,2.0,2022-12-10T20:20:54Z,,Python,106.0,119101.0
Shivanshu-Gupta/semeval-2020-task-7-humor-in-headlines,3.0,296.0,2017-08-22T13:55:27Z,Learning to create Machine Learning Algorithms,Python,100.0,11362.0
dkobylianskii/leptonTag,4.0,3.0,2021-02-19T07:37:44Z,Social Computing Project,Jupyter Notebook,256.0,57124.0
wasiwasi/intagral,2.0,78.0,2020-10-01T19:36:47Z,A graph neural network tailored to directed acyclic graphs that outperforms conventional GNNs by leveraging the partial order as strong inductive bias besides other suitable architectural features.,Python,333.0,11582.0
AlexGeniusMan/Polyus-Hack-2022-RealityX-ML,2.0,37.0,2020-12-01T15:58:39Z,"Focus on Algorithm Design, Not on Data Wrangling",Python,2412.0,1203.0
aqillakhamis/gocart-flask,30.0,2.0,2019-07-30T00:45:36Z,Building models for Optical Character Recognition ,Jupyter Notebook,1599.0,1110.0
sushantpattanaik/Linear-regression,30.0,13.0,2021-03-21T05:01:32Z,Zero-Shot Learning in Named Entity Recognition with Common Sense Knowledge,Jupyter Notebook,1613.0,69964.0
Takuonon/UTEP_app,4.0,5.0,2019-11-18T18:42:37Z,Cookiecutter for evaluating algorithms and training models in nussl,Jupyter Notebook,122.0,10885.0
hans/theano-hacked,30.0,2.0,2021-04-14T14:48:28Z,utilities for EREMUS dataset,Python,104.0,352.0
IT-Anfal/streamlit-smart,30.0,2.0,2023-01-11T06:56:11Z,,Python,111.0,6756.0
marridG/2023-Spectrum_MOT,30.0,103.0,2017-03-15T14:16:43Z,,HTML,2600.0,48105.0
AnReu/ALBERT-for-Math-AR,30.0,7201.0,2019-11-23T18:40:48Z,"An open-source, low-code machine learning library in Python",Jupyter Notebook,401.0,262111.0
