Repos,Contributors,Stars,created_date,description,language,Commit,Size
awslabs/amazon-neptune-tools,27.0,262.0,2018-02-14T05:13:35Z,Tools and utilities to enable loading data and building graph applications with Amazon Neptune.,Java,428.0,2044.0
deepcam-cn/yolov5-face,13.0,1521.0,2021-04-26T06:55:59Z,YOLO5Face: Why Reinventing a Face Detector (https://arxiv.org/abs/2105.12931)       ECCV Workshops 2022),Python,131.0,10233.0
aCLImatise/BaseCamp,2.0,2.0,2020-05-07T15:28:08Z,A repository of bioinformatics tool definitions generated by aCLImatise,,139.0,524618.0
SamirMoustafa/auto-features-extraction-for-RL,6.0,2.0,2020-05-26T16:50:04Z,Features Extraction using Autoencoders for Reinforcement Learning Tasks,Jupyter Notebook,152.0,198432.0
freelunchtheorem/Conditional_Density_Estimation,4.0,153.0,2017-12-18T17:52:01Z,Package implementing various parametric and nonparametric methods for conditional density estimation,Python,698.0,10697.0
Raalsky/neptune-f1,3.0,2.0,2021-11-02T15:01:24Z,Neptune.ai integration for F1 2021 telemetry,Python,234.0,229.0
TomaszOdrzygozdz/gym-splendor,3.0,2.0,2019-10-11T23:52:27Z,The environment for the ,Python,306.0,12893.0
flyteorg/flytesnacks,30.0,52.0,2019-10-17T18:32:26Z,Flyte Documentation 📖,Jupyter Notebook,545.0,37944.0
Tessellate-Imaging/Monk_Object_Detection,13.0,565.0,2019-12-31T12:25:05Z,A one-stop repository for low-code easily-installable object detection pipelines.,Jupyter Notebook,772.0,267145.0
AHNU2019/mmcv_ROCM,30.0,3.0,2020-07-14T04:08:29Z,mmcv with AMD ROCM support.,Python,451.0,5917.0
BraunMichael/MultiResUNet-Keras-Dragonfly4.1,30.0,2.0,2020-04-28T17:41:04Z,Forked versions of MultiResUNet and Keras 2.3.1 for making a deep learning model compatible with Dragonfly 4.1,Python,5359.0,13578.0
A-Jacobson/shiba,2.0,2.0,2019-05-03T23:41:52Z,"A simple, flexible, pytorch training loop.",Python,106.0,4944.0
garyd203/flying-circus,2.0,6.0,2017-09-12T10:53:04Z,"A tool for describing AWS infrastructure as (Python) code, built on top of AWS Cloud Formation.",Python,494.0,1040.0
dhlab-epfl/dhSegment-torch,8.0,28.0,2019-12-10T09:27:52Z,dhSegment on pytorch,Python,572.0,17792.0
minerva-ml/open-solution-toxic-comments,6.0,151.0,2018-01-04T16:29:37Z,Open solution to the Toxic Comment Classification Challenge,Python,163.0,2628.0
ktonal/mimikit,2.0,7.0,2020-10-23T04:17:42Z,Music Modeling Kit,Python,420.0,23473.0
HUJI-Deep/FlowKet,2.0,37.0,2019-05-09T08:08:24Z,A framework based on Tensorflow for running variational Monte-Carlo simulations of quantum many-body systems.,Python,317.0,11024.0
phac-nml/neptune,3.0,17.0,2015-11-18T17:52:12Z,Neptune: Genomic Signature Discovery,Python,295.0,2717.0
geyang/ml_logger,5.0,167.0,2018-04-21T07:27:55Z,"A logger, server and visualization dashboard for ML projects",Python,696.0,26927.0
ContinualAI/avalanche,30.0,1267.0,2020-03-05T11:32:13Z,Avalanche: an End-to-End Library for Continual Learning based on PyTorch.,Python,3129.0,11607.0
neptune-ai/neptune-examples,6.0,25.0,2020-03-18T15:34:38Z,Examples of using Neptune to keep track of your experiments (maintenance only).,Jupyter Notebook,139.0,7775.0
tensorflow/profiler,21.0,300.0,2020-03-10T15:58:33Z,A profiling and performance analysis tool for TensorFlow,TypeScript,465.0,31901.0
liangruibupt/aws-is-how,2.0,33.0,2020-04-09T02:42:12Z,Know How Guide and Hands on Guide for AWS,Jupyter Notebook,602.0,353713.0
BBQuercus/deepBlink,4.0,23.0,2020-06-24T14:52:33Z,Threshold independent detection and localization of diffraction-limited spots.,Python,524.0,345466.0
jamesdolezal/slideflow,5.0,96.0,2019-09-13T14:41:08Z,"Deep learning library for digital pathology, with both Tensorflow and PyTorch support.",Python,1841.0,104717.0
ludwig-ai/ludwig,30.0,8793.0,2018-12-27T23:58:12Z,Data-centric declarative deep learning framework,Python,3386.0,31529.0
kaylode/shrec22-pothole,2.0,4.0,2022-02-15T10:51:47Z,HCMUS Team at SHREC22: Crack and Pothole Segmentation,Python,137.0,35880.0
adevinta/graph-asset-inventory-api,3.0,3.0,2021-08-09T05:51:02Z,Security Graph - Asset Inventory API,Python,128.0,139.0
tensorflow/cloud,25.0,343.0,2020-02-10T18:51:59Z,The TensorFlow Cloud repository provides APIs that will allow to easily go from debugging and training your Keras and TensorFlow code in a local environment to distributed training in the cloud.,Python,574.0,1855.0
wandb/client-ng,12.0,15.0,2020-01-31T15:19:49Z,Experimental wandb CLI and Python API - See Experimental section below.,Python,605.0,22499.0
neptune-ai/neptune-client,29.0,371.0,2019-02-11T11:25:57Z,:ledger: Experiment tracking tool and model registry,Python,1386.0,8791.0
tensorflow/tensorboard,30.0,6140.0,2017-05-15T20:08:07Z,TensorFlow's Visualization Toolkit,TypeScript,5388.0,120908.0
broadinstitute/keras-rcnn,16.0,545.0,2017-04-25T13:32:06Z,Keras package for region-based convolutional neural networks (RCNNs),Python,838.0,5321.0
geyang/jaynes-starter-kit,6.0,14.0,2019-06-06T15:46:16Z,"a starter-kit for jaynes, the cloud-agnostic launch library",Python,214.0,2252.0
flyteorg/flytekit,30.0,123.0,2019-08-21T17:38:38Z,Extensible Python SDK for developing Flyte tasks and workflows. Simple to get started and learn and highly extensible. ,Python,997.0,15635.0
oblivia-simplex/berbalang,5.0,8.0,2019-03-20T16:15:11Z,WIP: evolutionary explorations of weird machines,Rust,379.0,140292.0
felipecode/coiltraine,10.0,207.0,2019-01-28T10:52:52Z,Training framework for conditional imitation learning ,Python,916.0,4926.0
aws-samples/amazon-neptune-samples,23.0,330.0,2018-04-05T22:37:22Z,Samples and documentation for using the Amazon Neptune graph database service,JavaScript,256.0,52047.0
craftmine1000/jukebox-saveopt,8.0,11.0,2022-03-17T15:31:07Z,,Python,165.0,2762.0
dunkelhaus/cancerTherapy,5.0,5.0,2018-01-18T01:39:50Z,To use deep learning to identify patients whose tumor DNA mutations “look similar to” other tumors for which treatments are effective.,HTML,434.0,174178.0
PenroseZ/vitis-ai,27.0,2.0,2021-01-26T09:34:05Z,,C++,941.0,1114823.0
neptune-ai/neptune-contrib,12.0,26.0,2019-01-22T15:41:44Z,This library is a location of the LegacyLogger for PyTorch Lightning.,Python,201.0,25501.0
embedded-bitai/Mercenary,7.0,4.0,2020-09-20T06:53:53Z,This is Mercenary Project,C++,131.0,484989.0
uwsampl/pytorch,30.0,3.0,2019-11-11T20:13:50Z,"Dynamic tensor rematerialization, implemented as a pytorch fork",C++,28468.0,186542.0
inferno-pytorch/speedrun,5.0,79.0,2018-05-24T18:48:50Z,Research code need not be ugly. ,Python,117.0,211.0
amundsen-io/amundsendatabuilder,30.0,204.0,2019-02-11T18:52:13Z,Data ingestion library for Amundsen to build graph and search index,Python,367.0,2155.0
catalyst-team/catalyst,30.0,3090.0,2018-08-20T07:56:13Z,Accelerated deep learning R&D,Python,1698.0,54739.0
lanpa/tensorboardX,30.0,7549.0,2017-06-13T13:54:19Z,"tensorboard for pytorch (and chainer, mxnet, numpy, ...)",Python,505.0,5779.0
