project,lines_of_code
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\kundajelab,9918
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\kundan2510,153370
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\KyanChen,110101
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\kyper999,169375
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\labml,87445
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\labmlai,88830
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LAMP_assay_automation,58023
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\lanpa,13020
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\learningandplanningICLR,1251305
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LEOCUIZHIHAO,17234
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\leokarlin,9061
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\letsmakeadeal,2175
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Lew-Lab,9617
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liangruibupt,117652
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Lightning-Universe,10283
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LinirZamir,16068
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Linkerbrain,4512
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530,4568900
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\livey,4161
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\lqrhy3,99827
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj,4061
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LuchnikovI,20689
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig,267251
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ludwig-ai,269269
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\luisoala,2364
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\lzil,1768
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mac2bua,948
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\MajerMartin,5031
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\maldil,618791
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\manishrdmishra,106998
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Manjunatha1997,24689
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\manmeet3,210797
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\marcduby,2334469
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\markusfleck,117375
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\marridG,19269
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\matech96,1604
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\matterport,5305
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\MauiDesign,118433
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mdhiebert,4977
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mdsohaib,325
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mengsong16,50193
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\merlinepedra,586692
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mesakh123,84499
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mhh0318,38634
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Michael-Vio,13822
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\michelemancusi,28685
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Miclin1024,2754
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\microns-ariadne,177317
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\microsoft,88727
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Mikubill,183088
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mindee,22795
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\minerva-ml,9572
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\minerva-training-materials,3663
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\MislavSag,4840
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\MixedPrecision,5411
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\MizarAI,26134
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mizunt1,4928
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\MJLagerwerf,7538
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mlab-upenn,2328
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mlco2,43364
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mlcommons,70530
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mli,30585
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Mobile-IoT-Security-Lab,16820
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\MoeinSorkhei,1167
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\MOF_color,25244
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\MohAlshahrani,16868
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mohsseha,340532
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\MolecularAI,1761
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Monk_Object_Detection,506703
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Mostafa-M-Abla,21344
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\muammar,6685
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\MutsukiMoon,207317
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\mvlearn,11874
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\naddeoa,407
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\nankyerdason2020,121310
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\nanoporetech,12542
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\nat06,1806
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\navigator8972,1297
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ncsu-landscape-dynamics,58015
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\neomatrix369,35294
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\neptune,5486
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\neptune-ai,44865
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\NetasDev,1560
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\neuralmonkey,23692
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\nguyenvanhoang7398,3256
