library,function,line,file
tensorboard.compat.proto.summary_pb2.SummaryMetadata,SummaryMetadata,107,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\torch\utils\tensorboard\summary.py
tensorboard.compat.proto.summary_pb2.SummaryMetadata.PluginData,SummaryMetadata.PluginData,108,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\torch\utils\tensorboard\summary.py
tensorboard.compat.proto.summary_pb2.Summary,Summary,113,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\liuluyang530\gpt-pytorch\torch\utils\tensorboard\summary.py
wandb.init,wandb.init,12,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-perceptron\perceptron-old-2.py
wandb.init,wandb.init,9,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-perceptron\perceptron.py
wandb.wandb_keras.WandbKerasCallback,WandbKerasCallback,29,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-perceptron\perceptron.py
wandb.init,wandb.init,15,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-smile\smile-generator.py
wandb.wandb_keras.WandbKerasCallback,WandbKerasCallback,85,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-smile\smile-generator.py
wandb.init,wandb.init,14,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-smile\smile.py
wandb.wandb_keras.WandbKerasCallback,WandbKerasCallback,68,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-smile\smile.py
wandb.init,wandb.init,15,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-transfer\dogcat-1.py
wandb.wandb_keras.WandbKerasCallback,WandbKerasCallback,77,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-transfer\dogcat-1.py
